machine_id,timestamp,temperature_c,vibration_mm_s,current_a,pressure_bar,status
PKG-L3,2026-06-10T08:39:00,72.46,3.48,9.31,7.0,normal
PKG-L3,2026-06-10T08:40:00,61.1,3.67,11.66,6.55,normal
PKG-L3,2026-06-10T08:41:00,68.85,3.45,11.32,7.37,normal
PKG-L3,2026-06-10T08:42:00,64.02,2.75,9.61,6.56,normal
PKG-L3,2026-06-10T08:43:00,64.69,3.4,10.78,7.05,normal
PKG-L3,2026-06-10T08:44:00,65.05,4.07,10.24,7.62,normal
PKG-L3,2026-06-10T08:45:00,67.5,2.69,9.43,6.94,normal
PKG-L3,2026-06-10T08:46:00,64.11,3.63,10.97,6.78,normal
PKG-L3,2026-06-10T08:47:00,61.61,2.29,10.05,7.06,normal
PKG-L3,2026-06-10T08:48:00,65.86,2.45,10.67,6.92,normal
PKG-L3,2026-06-10T08:49:00,61.46,3.29,10.56,6.46,normal
PKG-L3,2026-06-10T08:50:00,66.43,3.54,11.58,7.12,normal
PKG-L3,2026-06-10T08:51:00,59.49,2.64,11.02,6.95,normal
PKG-L3,2026-06-10T08:52:00,67.06,5.51,11.07,7.14,normal
PKG-L3,2026-06-10T08:53:00,68.82,3.59,10.18,7.03,normal
PKG-L3,2026-06-10T08:54:00,61.91,3.06,10.01,6.82,normal
PKG-L3,2026-06-10T08:55:00,74.26,2.08,11.19,6.32,normal
PKG-L3,2026-06-10T08:56:00,63.11,3.85,10.56,6.48,normal
PKG-L3,2026-06-10T08:57:00,62.14,3.61,9.77,6.86,normal
PKG-L3,2026-06-10T08:58:00,65.18,2.81,12.64,6.99,normal
PKG-L3,2026-06-10T08:59:00,56.9,3.31,9.84,7.06,normal
PKG-L3,2026-06-10T09:00:00,61.83,3.13,11.0,7.06,normal
PKG-L3,2026-06-10T09:01:00,60.2,3.0,10.03,6.6,normal
PKG-L3,2026-06-10T09:02:00,72.06,3.44,9.24,7.08,normal
PKG-L3,2026-06-10T09:03:00,73.49,3.82,8.98,6.65,normal
PKG-L3,2026-06-10T09:04:00,70.07,2.78,10.94,7.03,normal
PKG-L3,2026-06-10T09:05:00,61.29,3.16,7.26,6.49,normal
PKG-L3,2026-06-10T09:06:00,63.99,2.45,12.13,6.37,normal
PKG-L3,2026-06-10T09:07:00,63.24,3.28,11.94,6.37,normal
PKG-L3,2026-06-10T09:08:00,69.65,3.21,9.52,6.94,normal
PKG-L3,2026-06-10T09:09:00,65.8,2.84,10.57,6.68,normal
PKG-L3,2026-06-10T09:10:00,65.45,3.6,12.09,6.43,normal
PKG-L3,2026-06-10T09:11:00,73.53,2.03,10.35,6.98,normal
PKG-L3,2026-06-10T09:12:00,66.12,2.83,10.29,6.65,normal
PKG-L3,2026-06-10T09:13:00,62.64,3.71,10.86,6.59,normal
PKG-L3,2026-06-10T09:14:00,68.6,3.38,11.31,6.99,normal
PKG-L3,2026-06-10T09:15:00,61.68,2.86,11.25,6.98,normal
PKG-L3,2026-06-10T09:16:00,64.92,3.27,11.78,6.62,normal
PKG-L3,2026-06-10T09:17:00,67.19,3.08,10.28,7.13,normal
PKG-L3,2026-06-10T09:18:00,68.3,3.69,11.81,6.81,normal
PKG-L3,2026-06-10T09:19:00,67.73,3.01,10.82,6.76,normal
PKG-L3,2026-06-10T09:20:00,65.39,3.56,9.68,7.43,normal
PKG-L3,2026-06-10T09:21:00,60.98,2.47,11.66,7.04,normal
PKG-L3,2026-06-10T09:22:00,67.5,3.58,10.49,6.53,normal
PKG-L3,2026-06-10T09:23:00,65.3,2.79,11.48,6.76,normal
PKG-L3,2026-06-10T09:24:00,61.7,3.01,10.91,6.63,normal
PKG-L3,2026-06-10T09:25:00,61.71,3.35,10.74,6.65,normal
PKG-L3,2026-06-10T09:26:00,63.12,3.34,9.05,6.38,normal
PKG-L3,2026-06-10T09:27:00,62.13,3.07,10.81,7.24,normal
PKG-L3,2026-06-10T09:28:00,68.43,3.1,10.48,6.5,normal
PKG-L3,2026-06-10T09:29:00,64.93,3.03,10.82,6.55,normal
PKG-L3,2026-06-10T09:30:00,67.08,4.12,10.39,6.92,normal
PKG-L3,2026-06-10T09:31:00,67.76,2.96,10.72,6.8,normal
PKG-L3,2026-06-10T09:32:00,65.39,2.74,10.52,6.95,normal
PKG-L3,2026-06-10T09:33:00,70.8,3.78,12.65,6.57,normal
PKG-L3,2026-06-10T09:34:00,68.49,3.31,12.69,6.56,normal
PKG-L3,2026-06-10T09:35:00,61.64,2.84,8.38,6.64,normal
PKG-L3,2026-06-10T09:36:00,61.96,3.29,10.84,7.36,normal
PKG-L3,2026-06-10T09:37:00,68.8,2.85,9.6,6.95,normal
PKG-L3,2026-06-10T09:38:00,59.72,4.3,11.68,6.66,normal
PKG-L3,2026-06-10T09:39:00,58.15,4.01,10.39,7.17,normal
PKG-L3,2026-06-10T09:40:00,58.62,2.84,10.51,6.81,normal
PKG-L3,2026-06-10T09:41:00,63.2,3.57,9.43,6.76,normal
PKG-L3,2026-06-10T09:42:00,65.48,3.51,11.21,6.46,normal
PKG-L3,2026-06-10T09:43:00,58.86,3.97,10.83,6.58,normal
PKG-L3,2026-06-10T09:44:00,71.2,3.27,11.68,6.82,normal
PKG-L3,2026-06-10T09:45:00,73.24,4.25,10.25,7.09,normal
PKG-L3,2026-06-10T09:46:00,67.58,4.02,9.54,7.01,normal
PKG-L3,2026-06-10T09:47:00,69.23,2.14,9.32,6.19,normal
PKG-L3,2026-06-10T09:48:00,63.92,3.63,12.0,6.82,normal
PKG-L3,2026-06-10T09:49:00,71.51,2.37,8.8,6.78,normal
PKG-L3,2026-06-10T09:50:00,66.54,3.18,8.43,6.77,normal
PKG-L3,2026-06-10T09:51:00,59.78,3.6,10.87,6.52,normal
PKG-L3,2026-06-10T09:52:00,62.94,2.56,10.44,7.09,normal
PKG-L3,2026-06-10T09:53:00,61.06,3.5,9.97,6.56,normal
PKG-L3,2026-06-10T09:54:00,64.57,2.58,9.95,6.44,normal
PKG-L3,2026-06-10T09:55:00,72.86,3.22,9.8,6.86,normal
PKG-L3,2026-06-10T09:56:00,64.55,3.07,11.11,7.03,normal
PKG-L3,2026-06-10T09:57:00,62.88,2.85,10.22,6.11,normal
PKG-L3,2026-06-10T09:58:00,58.94,4.02,12.14,6.73,normal
PKG-L3,2026-06-10T09:59:00,67.31,3.39,13.58,7.14,normal
PKG-L3,2026-06-10T10:00:00,64.49,2.63,8.89,6.86,normal
PKG-L3,2026-06-10T10:01:00,61.97,2.35,9.85,6.48,normal
PKG-L3,2026-06-10T10:02:00,71.75,3.73,10.49,7.24,normal
PKG-L3,2026-06-10T10:03:00,65.31,2.68,12.02,6.96,normal
PKG-L3,2026-06-10T10:04:00,60.85,3.09,9.62,6.39,normal
PKG-L3,2026-06-10T10:05:00,68.7,4.35,9.1,6.97,normal
PKG-L3,2026-06-10T10:06:00,62.4,2.91,9.91,6.54,normal
PKG-L3,2026-06-10T10:07:00,65.19,2.7,10.77,6.78,normal
PKG-L3,2026-06-10T10:08:00,64.04,2.66,9.92,7.03,normal
PKG-L3,2026-06-10T10:09:00,67.0,2.61,10.6,7.03,normal
PKG-L3,2026-06-10T10:10:00,58.32,3.53,9.84,6.97,normal
PKG-L3,2026-06-10T10:11:00,61.95,2.12,8.87,6.81,normal
PKG-L3,2026-06-10T10:12:00,66.04,2.66,11.14,6.3,normal
PKG-L3,2026-06-10T10:13:00,64.74,2.47,9.85,6.81,normal
PKG-L3,2026-06-10T10:14:00,61.56,2.97,11.51,6.63,normal
PKG-L3,2026-06-10T10:15:00,68.34,2.52,11.03,7.23,normal
PKG-L3,2026-06-10T10:16:00,55.11,2.72,11.08,6.74,normal
PKG-L3,2026-06-10T10:17:00,66.48,2.84,10.59,6.75,normal
PKG-L3,2026-06-10T10:18:00,69.67,3.35,10.84,6.68,normal
PKG-L3,2026-06-10T10:19:00,63.05,2.94,10.89,6.67,normal
PKG-L3,2026-06-10T10:20:00,66.16,4.45,11.37,6.7,normal
PKG-L3,2026-06-10T10:21:00,69.8,2.96,8.46,6.5,normal
PKG-L3,2026-06-10T10:22:00,57.52,2.99,10.52,7.3,normal
PKG-L3,2026-06-10T10:23:00,66.31,3.07,11.33,6.14,normal
PKG-L3,2026-06-10T10:24:00,65.94,3.66,9.02,7.14,normal
PKG-L3,2026-06-10T10:25:00,66.35,2.95,11.13,7.48,normal
PKG-L3,2026-06-10T10:26:00,65.73,3.35,10.04,6.55,normal
PKG-L3,2026-06-10T10:27:00,68.32,2.69,10.57,6.66,normal
PKG-L3,2026-06-10T10:28:00,66.92,3.4,11.54,6.65,normal
PKG-L3,2026-06-10T10:29:00,63.92,2.61,10.06,6.91,normal
PKG-L3,2026-06-10T10:30:00,68.03,2.65,11.37,7.21,normal
PKG-L3,2026-06-10T10:31:00,66.65,4.33,9.73,6.43,normal
PKG-L3,2026-06-10T10:32:00,57.89,4.1,11.15,6.78,normal
PKG-L3,2026-06-10T10:33:00,66.12,2.52,12.95,6.84,normal
PKG-L3,2026-06-10T10:34:00,65.44,3.64,10.98,6.87,normal
PKG-L3,2026-06-10T10:35:00,79.91,5.0,13.01,6.67,normal
PKG-L3,2026-06-10T10:36:00,78.26,5.11,13.11,6.37,normal
PKG-L3,2026-06-10T10:37:00,78.5,6.03,13.61,6.4,warning
PKG-L3,2026-06-10T10:38:00,79.07,5.72,14.78,6.93,normal
PKG-L3,2026-06-10T10:39:00,79.82,5.51,14.08,6.67,normal
PKG-L3,2026-06-10T10:40:00,79.39,5.64,13.97,7.0,normal
PKG-L3,2026-06-10T10:41:00,80.29,5.53,13.52,6.54,normal
PKG-L3,2026-06-10T10:42:00,82.02,5.31,14.08,6.8,normal
PKG-L3,2026-06-10T10:43:00,82.45,6.02,14.28,6.93,warning
PKG-L3,2026-06-10T10:44:00,82.44,5.42,15.04,6.66,warning
PKG-L3,2026-06-10T10:45:00,80.63,6.24,14.06,7.05,warning
PKG-L3,2026-06-10T10:46:00,82.3,6.24,14.8,6.92,warning
PKG-L3,2026-06-10T10:47:00,83.77,5.48,14.27,6.85,normal
PKG-L3,2026-06-10T10:48:00,83.2,5.93,15.16,6.5,warning
PKG-L3,2026-06-10T10:49:00,84.61,6.71,16.01,6.9,warning
PKG-L3,2026-06-10T10:50:00,85.37,6.11,15.39,6.55,warning
PKG-L3,2026-06-10T10:51:00,84.03,6.9,14.95,7.23,warning
PKG-L3,2026-06-10T10:52:00,84.96,6.61,16.82,6.68,warning
PKG-L3,2026-06-10T10:53:00,85.35,7.36,16.01,6.59,warning
PKG-L3,2026-06-10T10:54:00,85.68,6.62,15.74,6.82,warning
PKG-L3,2026-06-10T10:55:00,87.67,7.23,16.32,6.79,warning
PKG-L3,2026-06-10T10:56:00,87.78,6.37,15.48,6.91,warning
PKG-L3,2026-06-10T10:57:00,89.03,6.75,16.19,6.61,warning
PKG-L3,2026-06-10T10:58:00,89.86,6.68,16.17,6.61,warning
PKG-L3,2026-06-10T10:59:00,89.12,7.48,16.42,6.91,warning
PKG-L3,2026-06-10T11:00:00,88.72,7.78,17.29,6.6,critical
PKG-L3,2026-06-10T11:01:00,88.5,6.97,16.6,6.75,warning
PKG-L3,2026-06-10T11:02:00,90.09,7.63,16.18,6.78,critical
PKG-L3,2026-06-10T11:03:00,89.83,7.23,16.55,6.59,warning
PKG-L3,2026-06-10T11:04:00,90.05,7.71,16.7,6.83,critical
PKG-L3,2026-06-10T11:05:00,90.76,7.44,17.24,6.77,critical
PKG-L3,2026-06-10T11:06:00,90.29,7.39,17.2,7.06,critical
PKG-L3,2026-06-10T11:07:00,95.43,7.55,17.1,6.91,critical
PKG-L3,2026-06-10T11:08:00,93.56,8.28,17.87,6.8,critical
PKG-L3,2026-06-10T11:09:00,93.1,7.98,18.18,6.54,critical
PKG-L3,2026-06-10T11:10:00,93.98,8.02,17.02,6.85,critical
PKG-L3,2026-06-10T11:11:00,67.58,4.5,10.19,6.87,normal
PKG-L3,2026-06-10T11:12:00,66.0,4.15,10.4,6.88,normal
PKG-L3,2026-06-10T11:13:00,67.43,3.31,10.05,6.86,normal
PKG-L3,2026-06-10T11:14:00,69.29,2.58,10.63,6.59,normal
PKG-L3,2026-06-10T11:15:00,69.78,2.29,9.94,6.91,normal
PKG-L3,2026-06-10T11:16:00,71.26,3.16,9.94,7.36,normal
PKG-L3,2026-06-10T11:17:00,59.21,1.88,10.94,6.65,normal
PKG-L3,2026-06-10T11:18:00,60.92,3.63,10.74,6.63,normal
PKG-L3,2026-06-10T11:19:00,59.88,3.72,11.15,6.77,normal
PKG-L3,2026-06-10T11:20:00,72.39,2.56,8.97,6.59,normal
PKG-L3,2026-06-10T11:21:00,64.82,3.35,10.26,6.91,normal
PKG-L3,2026-06-10T11:22:00,59.99,4.07,10.42,7.14,normal
PKG-L3,2026-06-10T11:23:00,66.37,3.47,11.07,6.93,normal
PKG-L3,2026-06-10T11:24:00,67.57,4.0,10.7,7.01,normal
PKG-L3,2026-06-10T11:25:00,64.64,4.06,9.82,7.34,normal
PKG-L3,2026-06-10T11:26:00,64.84,2.34,10.63,6.6,normal
PKG-L3,2026-06-10T11:27:00,68.36,2.81,10.05,6.23,normal
PKG-L3,2026-06-10T11:28:00,63.19,1.75,8.92,7.03,normal
PKG-L3,2026-06-10T11:29:00,68.14,3.46,9.53,6.79,normal
PKG-L3,2026-06-10T11:30:00,64.99,2.5,12.0,7.06,normal
PKG-L3,2026-06-10T11:31:00,64.12,3.22,10.71,6.19,normal
PKG-L3,2026-06-10T11:32:00,64.01,2.79,9.5,6.72,normal
PKG-L3,2026-06-10T11:33:00,72.19,3.58,9.93,6.97,normal
PKG-L3,2026-06-10T11:34:00,70.6,3.75,10.56,6.61,normal
PKG-L3,2026-06-10T11:35:00,67.79,3.44,11.4,6.99,normal
PKG-L3,2026-06-10T11:36:00,69.2,2.88,11.82,6.86,normal
PKG-L3,2026-06-10T11:37:00,73.3,2.79,12.24,6.86,normal
PKG-L3,2026-06-10T11:38:00,62.39,2.91,10.18,6.93,normal
PKG-L3,2026-06-10T11:39:00,67.09,2.86,10.48,7.44,normal
PKG-L3,2026-06-10T11:40:00,71.91,3.46,10.54,6.84,normal
PKG-L3,2026-06-10T11:41:00,67.45,2.59,10.24,6.3,normal
PKG-L3,2026-06-10T11:42:00,66.6,3.59,10.02,7.27,normal
PKG-L3,2026-06-10T11:43:00,60.1,2.32,10.72,7.11,normal
PKG-L3,2026-06-10T11:44:00,71.74,2.92,11.58,6.79,normal
PKG-L3,2026-06-10T11:45:00,64.31,3.73,11.15,6.33,normal
PKG-L3,2026-06-10T11:46:00,70.91,4.03,9.87,6.92,normal
PKG-L3,2026-06-10T11:47:00,66.98,3.36,9.95,6.6,normal
PKG-L3,2026-06-10T11:48:00,64.9,3.9,11.04,6.69,normal
PKG-L3,2026-06-10T11:49:00,68.09,1.49,11.65,6.28,normal
PKG-L3,2026-06-10T11:50:00,63.55,2.53,9.21,7.15,normal
PKG-L3,2026-06-10T11:51:00,63.13,3.41,10.45,6.94,normal
PKG-L3,2026-06-10T11:52:00,65.31,2.43,11.5,6.65,normal
PKG-L3,2026-06-10T11:53:00,58.77,2.94,12.0,7.06,normal
PKG-L3,2026-06-10T11:54:00,63.61,2.99,10.18,7.42,normal
PKG-L3,2026-06-10T11:55:00,66.53,3.46,11.53,6.87,normal
PKG-L3,2026-06-10T11:56:00,63.96,3.08,10.43,6.79,normal
PKG-L3,2026-06-10T11:57:00,67.91,3.23,11.23,6.78,normal
PKG-L3,2026-06-10T11:58:00,65.31,2.0,11.42,6.9,normal
PKG-L3,2026-06-10T11:59:00,68.99,1.46,12.59,6.76,normal
PKG-L3,2026-06-10T12:00:00,69.43,2.58,11.11,6.48,normal
PKG-L3,2026-06-10T12:01:00,62.5,4.35,10.31,6.87,normal
PKG-L3,2026-06-10T12:02:00,68.48,3.5,10.65,6.91,normal
PKG-L3,2026-06-10T12:03:00,74.61,3.17,10.7,7.12,normal
PKG-L3,2026-06-10T12:04:00,69.42,3.91,11.14,6.46,normal
PKG-L3,2026-06-10T12:05:00,71.53,2.51,10.8,6.57,normal
PKG-L3,2026-06-10T12:06:00,64.74,3.4,10.82,6.93,normal
PKG-L3,2026-06-10T12:07:00,71.45,3.47,10.26,7.09,normal
PKG-L3,2026-06-10T12:08:00,69.76,2.46,11.1,7.01,normal
PKG-L3,2026-06-10T12:09:00,63.81,4.03,10.35,6.84,normal
PKG-L3,2026-06-10T12:10:00,64.31,3.21,9.4,6.37,normal
PKG-L3,2026-06-10T12:11:00,71.38,2.69,9.51,6.15,normal
PKG-L3,2026-06-10T12:12:00,62.44,2.41,12.14,7.1,normal
PKG-L3,2026-06-10T12:13:00,62.25,4.55,11.48,6.7,normal
PKG-L3,2026-06-10T12:14:00,55.0,4.57,9.11,6.31,normal
PKG-L3,2026-06-10T12:15:00,69.09,4.66,11.88,6.97,normal
PKG-L3,2026-06-10T12:16:00,67.38,3.71,11.26,6.88,normal
PKG-L3,2026-06-10T12:17:00,65.42,3.16,9.75,6.72,normal
PKG-L3,2026-06-10T12:18:00,58.23,3.14,9.51,6.47,normal
PKG-L3,2026-06-10T12:19:00,65.72,4.04,11.42,6.33,normal
PKG-L3,2026-06-10T12:20:00,61.04,3.76,9.52,6.73,normal
PKG-L3,2026-06-10T12:21:00,67.2,2.62,10.61,6.4,normal
PKG-L3,2026-06-10T12:22:00,62.59,3.39,8.91,6.93,normal
PKG-L3,2026-06-10T12:23:00,64.92,3.53,10.72,7.21,normal
PKG-L3,2026-06-10T12:24:00,65.5,2.94,10.62,6.96,normal
PKG-L3,2026-06-10T12:25:00,65.2,3.22,9.8,6.6,normal
PKG-L3,2026-06-10T12:26:00,59.39,4.25,9.26,6.59,normal
PKG-L3,2026-06-10T12:27:00,62.13,3.74,10.21,7.17,normal
PKG-L3,2026-06-10T12:28:00,62.31,3.37,9.66,7.44,normal
PKG-L3,2026-06-10T12:29:00,60.25,3.39,11.13,6.92,normal
PKG-L3,2026-06-10T12:30:00,64.26,3.12,10.54,6.76,normal
PKG-L3,2026-06-10T12:31:00,68.86,4.53,9.94,6.39,normal
PKG-L3,2026-06-10T12:32:00,64.65,4.75,9.7,7.29,normal
PKG-L3,2026-06-10T12:33:00,71.71,2.87,11.07,7.29,normal
PKG-L3,2026-06-10T12:34:00,63.48,3.08,9.92,6.5,normal
PKG-L3,2026-06-10T12:35:00,62.4,2.47,10.53,6.57,normal
PKG-L3,2026-06-10T12:36:00,65.94,2.27,10.83,7.05,normal
PKG-L3,2026-06-10T12:37:00,57.03,3.42,11.73,6.44,normal
PKG-L3,2026-06-10T12:38:00,71.69,3.45,9.79,6.78,normal
PKG-L3,2026-06-10T12:39:00,67.23,3.25,11.04,6.52,normal
PKG-L3,2026-06-10T12:40:00,65.68,2.35,10.39,6.53,normal
PKG-L3,2026-06-10T12:41:00,62.06,3.94,11.59,6.98,normal
PKG-L3,2026-06-10T12:42:00,60.63,3.01,11.71,6.84,normal
PKG-L3,2026-06-10T12:43:00,74.28,3.44,10.69,6.71,normal
PKG-L3,2026-06-10T12:44:00,65.53,3.11,11.21,7.09,normal
PKG-L3,2026-06-10T12:45:00,61.86,2.4,8.66,6.95,normal
PKG-L3,2026-06-10T12:46:00,60.59,1.91,10.89,7.55,normal
PKG-L3,2026-06-10T12:47:00,64.98,3.7,10.58,6.77,normal
PKG-L3,2026-06-10T12:48:00,68.68,3.03,10.77,6.9,normal
PKG-L3,2026-06-10T12:49:00,62.33,3.8,10.33,6.57,normal
PKG-L3,2026-06-10T12:50:00,67.15,2.66,10.53,6.8,normal
PKG-L3,2026-06-10T12:51:00,69.34,3.48,10.47,7.05,normal
PKG-L3,2026-06-10T12:52:00,70.56,3.53,10.51,6.41,normal
PKG-L3,2026-06-10T12:53:00,60.74,3.02,9.89,6.74,normal
PKG-L3,2026-06-10T12:54:00,65.23,3.52,10.43,6.95,normal
PKG-L3,2026-06-10T12:55:00,65.26,2.01,9.56,6.76,normal
PKG-L3,2026-06-10T12:56:00,60.16,3.56,12.03,7.17,normal
PKG-L3,2026-06-10T12:57:00,64.15,4.09,10.65,6.7,normal
PKG-L3,2026-06-10T12:58:00,62.55,3.02,10.11,6.85,normal
PKG-L3,2026-06-10T12:59:00,65.64,3.2,10.94,7.16,normal
PKG-L3,2026-06-10T13:00:00,68.8,2.31,7.95,7.08,normal
PKG-L3,2026-06-10T13:01:00,59.53,3.07,9.33,6.26,normal
PKG-L3,2026-06-10T13:02:00,67.17,3.66,9.92,6.02,normal
PKG-L3,2026-06-10T13:03:00,62.82,3.44,9.02,6.86,normal
PKG-L3,2026-06-10T13:04:00,64.94,3.55,10.62,6.51,normal
PKG-L3,2026-06-10T13:05:00,69.79,3.1,10.47,6.52,normal
PKG-L3,2026-06-10T13:06:00,63.23,2.67,10.33,7.31,normal
PKG-L3,2026-06-10T13:07:00,59.51,2.23,11.97,6.74,normal
PKG-L3,2026-06-10T13:08:00,62.32,3.82,9.89,7.35,normal
PKG-L3,2026-06-10T13:09:00,67.71,2.91,12.66,6.62,normal
PKG-L3,2026-06-10T13:10:00,67.97,3.38,11.8,7.27,normal
PKG-L3,2026-06-10T13:11:00,65.13,2.75,10.96,6.6,normal
PKG-L3,2026-06-10T13:12:00,73.05,3.28,10.13,6.86,normal
PKG-L3,2026-06-10T13:13:00,59.61,2.62,11.7,6.6,normal
PKG-L3,2026-06-10T13:14:00,60.81,3.52,11.69,7.02,normal
PKG-L3,2026-06-10T13:15:00,68.98,2.75,9.08,7.25,normal
PKG-L3,2026-06-10T13:16:00,63.71,3.05,11.83,6.97,normal
PKG-L3,2026-06-10T13:17:00,66.82,4.5,9.86,7.08,normal
PKG-L3,2026-06-10T13:18:00,65.23,3.36,12.03,6.95,normal
PKG-L3,2026-06-10T13:19:00,67.15,3.84,10.14,6.55,normal
PKG-L3,2026-06-10T13:20:00,60.82,2.02,12.56,6.47,normal
PKG-L3,2026-06-10T13:21:00,64.11,3.03,10.81,7.04,normal
PKG-L3,2026-06-10T13:22:00,68.44,2.85,10.33,6.88,normal
PKG-L3,2026-06-10T13:23:00,64.01,4.16,10.99,7.02,normal
PKG-L3,2026-06-10T13:24:00,67.65,3.9,10.68,6.41,normal
PKG-L3,2026-06-10T13:25:00,66.6,2.81,9.97,6.98,normal
PKG-L3,2026-06-10T13:26:00,69.95,3.21,10.81,7.31,normal
PKG-L3,2026-06-10T13:27:00,65.96,4.76,11.07,6.27,normal
PKG-L3,2026-06-10T13:28:00,68.01,3.43,11.79,7.0,normal
PKG-L3,2026-06-10T13:29:00,64.45,2.47,10.29,6.54,normal
PKG-L3,2026-06-10T13:30:00,62.68,3.55,12.17,6.92,normal
PKG-L3,2026-06-10T13:31:00,60.22,3.47,11.7,6.62,normal
PKG-L3,2026-06-10T13:32:00,64.46,3.21,9.72,6.99,normal
PKG-L3,2026-06-10T13:33:00,64.52,3.45,9.61,6.67,normal
PKG-L3,2026-06-10T13:34:00,67.89,2.98,12.23,6.68,normal
PKG-L3,2026-06-10T13:35:00,65.9,3.76,9.08,6.27,normal
PKG-L3,2026-06-10T13:36:00,58.9,3.96,9.95,7.57,normal
PKG-L3,2026-06-10T13:37:00,62.74,3.31,12.04,7.4,normal
PKG-L3,2026-06-10T13:38:00,73.25,3.93,11.52,6.98,normal
PKG-L3,2026-06-10T13:39:00,68.11,2.87,9.68,6.8,normal
PKG-L3,2026-06-10T13:40:00,64.32,2.93,11.2,7.09,normal
PKG-L3,2026-06-10T13:41:00,65.35,4.09,9.36,6.74,normal
PKG-L3,2026-06-10T13:42:00,62.13,2.08,10.42,6.76,normal
PKG-L3,2026-06-10T13:43:00,71.05,3.58,9.48,7.36,normal
PKG-L3,2026-06-10T13:44:00,69.88,3.55,10.27,6.51,normal
PKG-L3,2026-06-10T13:45:00,63.51,3.85,12.38,7.26,normal
PKG-L3,2026-06-10T13:46:00,63.04,2.53,10.64,6.27,normal
PKG-L3,2026-06-10T13:47:00,66.29,3.11,10.03,6.32,normal
PKG-L3,2026-06-10T13:48:00,67.05,2.88,9.33,5.94,normal
PKG-L3,2026-06-10T13:49:00,64.89,4.26,12.16,6.66,normal
PKG-L3,2026-06-10T13:50:00,62.59,3.48,9.5,6.89,normal
PKG-L3,2026-06-10T13:51:00,68.06,3.94,10.4,6.74,normal
PKG-L3,2026-06-10T13:52:00,61.49,2.7,10.27,6.91,normal
PKG-L3,2026-06-10T13:53:00,68.65,2.72,11.99,6.72,normal
PKG-L3,2026-06-10T13:54:00,64.91,2.75,8.08,7.07,normal
PKG-L3,2026-06-10T13:55:00,67.95,3.03,10.57,6.95,normal
PKG-L3,2026-06-10T13:56:00,58.75,2.88,11.29,6.42,normal
